"res_hight [mm]","res_width [mm]","xoff [mm]","Matrix1.C(Voltage4,Voltage3) [fF]"
3.5,1,2,-215.702125639612
3.5,1,3,-215.851909889588
3.5,1,4,-215.736591656406
3.5,1,5,-217.576987334975
3.5,1,6,-218.55080541744
3.5,1,7,-219.34412927353
3.5,1,7.1,-221.012703387283
3.5,1,7.2,-222.685914534462
3.5,1,7.3,-221.203462643451
3.5,1,7.4,-223.373780365609
3.5,1,7.5,-223.684142348621
3.5,1,7.6,-222.950208356311
3.5,1,7.7,-223.712896058389
3.5,1,7.8,-224.769540411434
3.5,1,7.9,-226.085764430635
3.5,1,8,-225.045272624511
3.5,1,8.1,-227.907273779841
3.5,1,8.2,-228.733178628699
3.5,1,8.3,-231.064083438904
3.5,1,8.4,-230.932009805238
3.5,1,8.5,-230.494530588791
3.5,1,8.6,-233.837260903198
3.5,1,8.7,-234.644698534782
3.5,1,8.8,-234.65360381688
3.5,1,8.9,-238.722922156061
3.5,1,9,-241.962110580326
3.5,1,9.1,-244.097535489351
3.5,1,9.2,-246.096130343413
3.5,1,9.3,-252.30941508402
3.5,1,9.4,-254.623202681646
3.5,1,9.5,-260.58140862192
3.5,1,9.6,-265.369905646577
3.5,1,9.7,-277.004428571302
3.5,1,9.8,-288.391032665438
3.5,1,9.9,-310.473987282664
3.5,1,10,-364.44962011655
